iteration	node_index	branch_start_time	branch_end_time	start_state	end_state	transition_time	transition_type	parent_index	child1_index	child2_index
64	4	2	1	2	1	1	cladogenetic	5	3	2
65	4	2	1	2	2	NA	no_change	5	3	2
65	4	2	1	2	0	1	cladogenetic	5	3	2
65	4	2	1	2	1	1	cladogenetic	5	3	2
66	4	2	1	2	2	NA	no_change	5	3	2
66	4	2	1	2	0	1	cladogenetic	5	3	2
66	4	2	1	2	1	1	cladogenetic	5	3	2
67	4	2	1	0	2	1.33232	anagenetic	5	3	2
67	4	2	1	2	0	1	cladogenetic	5	3	2
67	4	2	1	2	1	1	cladogenetic	5	3	2
68	4	2	1	2	2	NA	no_change	5	3	2
68	4	2	1	2	0	1	cladogenetic	5	3	2
68	4	2	1	2	1	1	cladogenetic	5	3	2
69	4	2	1	0	2	1.55257	anagenetic	5	3	2
69	4	2	1	2	0	1	cladogenetic	5	3	2
70	4	2	1	2	2	NA	no_change	5	3	2
70	4	2	1	2	1	1	cladogenetic	5	3	2
71	4	2	1	2	2	NA	no_change	5	3	2
71	4	2	1	2	0	1	cladogenetic	5	3	2
71	4	2	1	2	1	1	cladogenetic	5	3	2
72	4	2	1	1	2	1.40532	anagenetic	5	3	2
72	4	2	1	2	0	1	cladogenetic	5	3	2
72	4	2	1	2	1	1	cladogenetic	5	3	2
73	4	2	1	0	2	1.70063	anagenetic	5	3	2
73	4	2	1	2	0	1	cladogenetic	5	3	2
73	4	2	1	2	1	1	cladogenetic	5	3	2
74	4	2	1	2	2	NA	no_change	5	3	2
74	4	2	1	2	0	1	cladogenetic	5	3	2
74	4	2	1	2	1	1	cladogenetic	5	3	2
75	4	2	1	2	2	NA	no_change	5	3	2
75	4	2	1	2	0	1	cladogenetic	5	3	2
75	4	2	1	2	1	1	cladogenetic	5	3	2
76	4	2	1	1	2	1.84981	anagenetic	5	3	2
76	4	2	1	2	1	1	cladogenetic	5	3	2
77	4	2	1	2	2	NA	no_change	5	3	2
77	4	2	1	2	0	1	cladogenetic	5	3	2
77	4	2	1	2	1	1	cladogenetic	5	3	2
78	4	2	1	1	2	1.1868	anagenetic	5	3	2
78	4	2	1	2	0	1	cladogenetic	5	3	2
78	4	2	1	2	1	1	cladogenetic	5	3	2
79	4	2	1	1	1	NA	no_change	5	3	2
80	4	2	1	2	2	NA	no_change	5	3	2
80	4	2	1	2	0	1	cladogenetic	5	3	2
81	4	2	1	0	2	1.11422	anagenetic	5	3	2
81	4	2	1	2	0	1	cladogenetic	5	3	2
81	4	2	1	2	1	1	cladogenetic	5	3	2
82	4	2	1	2	2	NA	no_change	5	3	2
82	4	2	1	2	0	1	cladogenetic	5	3	2
82	4	2	1	2	1	1	cladogenetic	5	3	2
83	4	2	1	2	2	NA	no_change	5	3	2
83	4	2	1	2	0	1	cladogenetic	5	3	2
84	4	2	1	1	2	1.62642	anagenetic	5	3	2
84	4	2	1	2	0	1	cladogenetic	5	3	2
84	4	2	1	2	1	1	cladogenetic	5	3	2
85	4	2	1	2	2	NA	no_change	5	3	2
85	4	2	1	2	0	1	cladogenetic	5	3	2
85	4	2	1	2	1	1	cladogenetic	5	3	2
86	4	2	1	2	2	NA	no_change	5	3	2
86	4	2	1	2	0	1	cladogenetic	5	3	2
